"num_items","participants","statistic","value"
1,"Crowdsourced music testers","SEM",2.37970887961785
2,"Crowdsourced music testers","SEM",1.81315937432174
3,"Crowdsourced music testers","SEM",1.50154930267126
4,"Crowdsourced music testers","SEM",1.30068343701832
5,"Crowdsourced music testers","SEM",1.17929006560532
6,"Crowdsourced music testers","SEM",1.05425530618119
7,"Crowdsourced music testers","SEM",0.98156599877684
8,"Crowdsourced music testers","SEM",0.92353631373658
9,"Crowdsourced music testers","SEM",0.868973190608355
10,"Crowdsourced music testers","SEM",0.814705588040124
11,"Crowdsourced music testers","SEM",0.782584521179936
12,"Crowdsourced music testers","SEM",0.763811938438697
13,"Crowdsourced music testers","SEM",0.738786377155911
14,"Crowdsourced music testers","SEM",0.715234582497397
15,"Crowdsourced music testers","SEM",0.693856874866353
16,"Crowdsourced music testers","SEM",0.687263347780594
17,"Crowdsourced music testers","SEM",0.673023076666343
18,"Crowdsourced music testers","SEM",0.652580727987381
19,"Crowdsourced music testers","SEM",0.637145493554528
20,"Crowdsourced music testers","SEM",0.612078585753505
0,"Crowdsourced music testers","Test-retest correlation (simulated)",0
1,"Crowdsourced music testers","Test-retest correlation (simulated)",0.15788002984747
2,"Crowdsourced music testers","Test-retest correlation (simulated)",0.247064860425493
3,"Crowdsourced music testers","Test-retest correlation (simulated)",0.321997520402199
4,"Crowdsourced music testers","Test-retest correlation (simulated)",0.388012203023942
5,"Crowdsourced music testers","Test-retest correlation (simulated)",0.438165167875689
6,"Crowdsourced music testers","Test-retest correlation (simulated)",0.48250211836144
7,"Crowdsourced music testers","Test-retest correlation (simulated)",0.536268216335301
8,"Crowdsourced music testers","Test-retest correlation (simulated)",0.554656544110103
9,"Crowdsourced music testers","Test-retest correlation (simulated)",0.583976403737742
10,"Crowdsourced music testers","Test-retest correlation (simulated)",0.6264723527486
11,"Crowdsourced music testers","Test-retest correlation (simulated)",0.648176514000444
12,"Crowdsourced music testers","Test-retest correlation (simulated)",0.665938993189681
13,"Crowdsourced music testers","Test-retest correlation (simulated)",0.687838798736555
14,"Crowdsourced music testers","Test-retest correlation (simulated)",0.704201094760768
15,"Crowdsourced music testers","Test-retest correlation (simulated)",0.711508509396784
16,"Crowdsourced music testers","Test-retest correlation (simulated)",0.728492394344107
17,"Crowdsourced music testers","Test-retest correlation (simulated)",0.742711994217557
18,"Crowdsourced music testers","Test-retest correlation (simulated)",0.754273496493974
19,"Crowdsourced music testers","Test-retest correlation (simulated)",0.76647819735763
20,"Crowdsourced music testers","Test-retest correlation (simulated)",0.774625275910691
