"length","pearson_cor_value","pearson_cor_df","pearson_cor_p","pearson_cor_95_conf_lower","pearson_cor_95_conf_upper"
1,0.35617560762191,61,0.00416943219095614,0.118903559599388,0.554966071642856
2,0.158646155538595,61,0.214280232055813,-0.0927651960709969,0.391040568504943
3,0.195996582950081,61,0.123683208528396,-0.0544106929789089,0.42321006936723
4,0.170460573264214,61,0.181649152478543,-0.0807133195955719,0.401277964517747
5,0.0986587071337272,61,0.441728516678062,-0.152842433320145,0.338157751757544
6,0.125807994789019,61,0.32586129621422,-0.125880847534126,0.362280448272806
7,0.214592020408413,61,0.091238415169069,-0.0350358103726564,0.439015311978031
8,0.239493134080496,61,0.058695811083411,-0.00879369951061718,0.459964766460029
9,0.264012965811411,61,0.0365433990470951,0.0173851510069513,0.480356360992829
10,0.341891765104957,61,0.00609708741281611,0.102838020051451,0.54360837182586
11,0.397336455669575,61,0.00126206709488924,0.165904023611571,0.587285530223041
12,0.405827165594796,61,0.000967239596188814,0.175731940935784,0.593877905124602
13,0.438041910999169,61,0.000330062101549781,0.213442058167224,0.618662585002543
14,0.540747133415705,61,4.75916196844712e-06,0.338308009286935,0.695350355510085
15,0.579386973217143,61,6.5180127169333e-07,0.387206083150436,0.72331833379665
16,0.55520768453581,61,2.32842099870567e-06,0.356480481044005,0.705872196694956
17,0.540176851200317,61,4.89193582204886e-06,0.337594421042097,0.694934041679977
18,0.527502192632459,61,8.90297022606935e-06,0.321794622197237,0.685654513143628
19,0.559813850531504,61,1.8410918036685e-06,0.362300766192207,0.709209848310303
20,0.557811259142427,61,2.03987290191908e-06,0.359768426392715,0.707759582670322
21,0.575970879033453,61,7.85116760895492e-07,0.382839064831036,0.720864608084784
22,0.594788762037975,61,2.74190068218951e-07,0.407002870011944,0.734336237169913
23,0.615897961117964,61,7.75508393152546e-08,0.434425360062327,0.749318504820935
24,0.619563351964575,61,6.16883838949407e-08,0.439221516148784,0.751906174620963
25,0.619859199893833,61,6.05516598956284e-08,0.439609081407711,0.752114857802154
26,0.636180821817346,61,2.10453978517703e-08,0.461095158097851,0.763586744628409
27,0.628058014026648,61,3.58838009800599e-08,0.450376423225744,0.757887548210534
28,0.661464708109613,61,3.60102008076886e-09,0.494789679787828,0.781200491420626
29,0.680767761174646,61,8.31921692536427e-10,0.520855690285634,0.794520642352078
30,0.697506598872951,61,2.12828250953476e-10,0.543703112005825,0.805983398050022
