piat_length,r,t,p,df,r_low,r_high,method,alternative,sem_mean,sem_median,sem_n,sem_lower,sem_upper
1,-0.042659189156869566,-0.34158446358655015,0.7337826665552993,64,-0.2817825800442997,0.20145357730913285,Pearson's product-moment correlation,two.sided,3.361674507315431,2.8931502390468005,144,3.269501531855424,3.4538474827754375
2,-0.04559273619292933,-0.3651215756295269,0.7162245248707091,64,-0.2844862228288974,0.1986319285245215,Pearson's product-moment correlation,two.sided,2.5160504282041103,2.246321998314377,144,2.41610461861053,2.6159962377976904
3,-0.10181823904717298,-0.8188012068626783,0.41593834649917927,64,-0.3355811685896873,0.1437571939350765,Pearson's product-moment correlation,two.sided,2.0483971640767895,2.020581042672487,144,1.9599182299697355,2.1368760981838437
4,-0.04285504094607891,-0.34315558435396115,0.7326060749822585,64,-0.2819632011593452,0.20126532229144384,Pearson's product-moment correlation,two.sided,1.7413849665246381,1.677769626821886,144,1.6674620337973411,1.8153078992519351
5,-0.0653049092070327,-0.5235568811776277,0.6023950415166885,64,-0.3025555124763498,0.17956607329440477,Pearson's product-moment correlation,two.sided,1.5475834459202042,1.3669951613519635,144,1.478091597652325,1.6170752941880835
6,-0.05236429531943179,-0.41948988205011994,0.6762629339249251,64,-0.2907126138164635,0.19210317039118815,Pearson's product-moment correlation,two.sided,1.395889150359736,1.2126397321872862,144,1.3318930296183802,1.4598852711010917
7,-0.011514177447795282,-0.09211952621692421,0.9268908202576134,64,-0.252842328362493,0.23116280298816327,Pearson's product-moment correlation,two.sided,1.285959884895267,1.165490843153353,144,1.222450595561539,1.3494691742289948
8,0.06467291834694597,0.518468753085541,0.6059192482660681,64,-0.18018021034509227,0.3019788280852185,Pearson's product-moment correlation,two.sided,1.2134337144303462,1.0753039534700597,144,1.1546614802847854,1.272205948575907
9,0.11787192789129972,0.9495952361882893,0.3458901560915678,64,-0.1278070364115007,0.3499218276849791,Pearson's product-moment correlation,two.sided,1.1545763767545845,0.9817776324176478,144,1.0968892446337954,1.2122635088753735
10,0.23185340701250243,1.9067857615035542,0.06103934949223579,64,-0.010784554386865172,0.4487065111399212,Pearson's product-moment correlation,two.sided,1.097372083996514,0.9871941432333207,144,1.0463188262436813,1.1484253417493466
11,0.24472961937153428,2.0192392665563212,0.0476549508087703,64,0.002866644106698377,0.4595425014285001,Pearson's product-moment correlation,two.sided,1.0494568697186892,0.9081326771247511,144,0.9985102901677855,1.1004034492695929
12,0.29025310317680836,2.426485225335591,0.018073274879296396,64,0.05186380077508483,0.4973468790981476,Pearson's product-moment correlation,two.sided,1.006718611342648,0.8839621470457092,144,0.9578824845935793,1.0555547380917167
13,0.3271413327884997,2.7695224670286676,0.007337252746451762,64,0.09242681451985045,0.5274140311714294,Pearson's product-moment correlation,two.sided,0.9792988018469053,0.8626267812226507,144,0.9283248007094546,1.030272802984356
14,0.361674573911582,3.1034891366316093,0.0028465977528285,64,0.1311196323159425,0.5551142555939598,Pearson's product-moment correlation,two.sided,0.956031431682007,0.8004049098025035,144,0.9038101809698177,1.0082526823941962
15,0.4036497034243183,3.5295109680300842,7.770678756971785e-4,64,0.17911592029399098,0.5882158706606325,Pearson's product-moment correlation,two.sided,0.9344661616855243,0.7663220620906581,144,0.8791589488509765,0.9897733745200722
16,0.4708721925034177,4.2699743789380395,6.605456767149307e-5,64,0.2582740034677113,0.6399698416658263,Pearson's product-moment correlation,two.sided,0.9148389423926448,0.7518965228972025,144,0.8563846529592212,0.9732932318260685
17,0.5168589487370853,4.830059246343943,8.86901742488457e-6,64,0.31412180951555924,0.674512379101588,Pearson's product-moment correlation,two.sided,0.8941272495029933,0.7284962469332785,144,0.8342434576269897,0.9540110413789968
18,0.5461917772292372,5.216356740015383,2.0980966001986604e-6,64,0.3504928672973505,0.6961907079150974,Pearson's product-moment correlation,two.sided,0.8656314609034551,0.6992399892247452,144,0.8083112169133697,0.9229517048935405
19,0.5671006066342391,5.508180594681474,6.887072917504773e-7,64,0.3767840566220876,0.7114780813314439,Pearson's product-moment correlation,two.sided,0.8450496821325965,0.6902759879540663,144,0.7873643587077289,0.902735005557464
20,0.5827485016802989,5.7367542306459764,2.841809872191086e-7,64,0.39666271781257795,0.7228302368779472,Pearson's product-moment correlation,two.sided,0.8246729850271469,0.6702971407240204,144,0.7707648696692231,0.8785811003850708
21,0.5824330146215214,5.732053389918899,2.8943113472952545e-7,64,0.39626020025320047,0.7226021033413496,Pearson's product-moment correlation,two.sided,0.8013758787459803,0.6603310109313001,144,0.7498749775312727,0.8528767799606878
22,0.6100208207135519,6.158829602799255,5.4107133749325985e-8,64,0.43173098095655194,0.7424365299232727,Pearson's product-moment correlation,two.sided,0.7814985024091973,0.649526849330035,144,0.7334487844408834,0.8295482203775112
23,0.6121356689022684,6.192941228800876,4.7264297750336167e-8,64,0.4344730764238859,0.7439474930370341,Pearson's product-moment correlation,two.sided,0.7642298937268779,0.6406422561984344,144,0.719248954463832,0.8092108329899238
24,0.6268761826315943,6.43677042995752,1.7904667261158826e-8,64,0.4536774262208167,0.7544416179396177,Pearson's product-moment correlation,two.sided,0.7509881256106795,0.6313059713824012,144,0.7043683447781691,0.7976079064431899
25,0.649946596475657,6.841724224381518,3.5239098121361462e-9,64,0.4840606120537932,0.7707361215675078,Pearson's product-moment correlation,two.sided,0.7391361451219215,0.6128441230543437,144,0.6907383021828625,0.7875339880609805
